Journey Event ID,Journey ID,Event Time Stamp,Latitude,Longitude,Event Type ID,Event Description,Time Elapsed,Distance From Previous Position,Average Speed From Prev Point,Satellite Count,HDOP Value
8606124384,124919633,13 Nov 2021 20:54:06:500,51.57437,-0.2185955,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,29.0,151.0,11.06896552,14.0,0.800000012
8606124385,124919633,13 Nov 2021 20:54:34:500,51.57455,-0.2205142,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,28.0,156.0,11.64285714,16.0,0.699999988
8606124386,124919633,13 Nov 2021 20:54:56:500,51.57359,-0.2219798,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,22.0,151.0,14.36363636,16.0,0.699999988
8606124387,124919633,13 Nov 2021 20:55:14:500,51.5726,-0.2229425,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,18.0,156.0,18.61111111,14.0,0.800000012
8606020777,124934495,13 Nov 2021 21:29:40:000,51.58167,-0.2117097,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,44.0,150.0,6.818181818,13.0,0.699999988
8606020779,124934495,13 Nov 2021 21:29:50:000,51.58305,-0.2112892,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,10.0,157.0,34.9,12.0,0.800000012
8606020780,124934495,13 Nov 2021 21:29:59:000,51.58435,-0.2106988,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,9.0,151.0,37.33333333,10.0,1.100000024
8606020781,124934495,13 Nov 2021 21:30:12:000,51.58565,-0.2100157,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,13.0,152.0,37.66666667,12.0,0.800000012
8606020782,124934495,13 Nov 2021 21:30:22:000,51.58699,-0.209216,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,10.0,159.0,35.2,12.0,1.0
8606020783,124934495,13 Nov 2021 21:30:33:000,51.5881,-0.2077878,5,RTP_EVT_DA_JOURNEY_DETAIL_V3,11.0,159.0,31.81818182,13.0,0.699999988
